OID;OBJECTID;IDDATACION;CODIGOMUES;UNIDADGEOL;LITOLOGIA;EDADAÑOSB;ERRORAÑOS;EDADMA;ERRORMA;EDADGRASIM;EDADGRAS_1;EDADESTRAT;EDADESHERE;METODODATA;MATERIALAN;RELACIONIN;MSWD;PX2;DISPERSION;NUMEROGRAN;NUMEROALIC;FUENTEGEOR;COORDENADA;COORDENA_1;SISTEMACOO;LATITUD;LONGITUD;REFERENCIA;CITAREFERE;IDREFERENC;COMENTARIO;URL
3597;3598;1114;63.01;Formación Esmita;Andesita basáltica; ; ;7,6;± 1,8; ; ;Mioceno (N1); ;K–Ar;Roca total; ; ; ; ; ; ;Las coordenadas reportadas por el autor no coinciden con la localización de la datación en la Figura 3.1. Se obtuvo las coordenadas del punto a partir de la georreferenciación de esta figura;735655;1029697;MAGNA_Colombia_Oeste;"2° 12' 20,199"" N";"76° 48' 37,948"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3598;3599;1130;60.02;Stock de Pitayó;Traquiandesita; ; ;7,8;± 0,2; ; ;Mioceno (N1); ;K–Ar;Anfíbol; ; ; ; ; ; ; ;789808;1082679;MAGNA_Colombia_Oeste;"2° 41' 42,500"" N";"76° 20' 02,364"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3599;3600;1154;CM010AR;Rocas hipoabisales dacíticas;Andesita porfirítica; ; ;8,3;± 0,07; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ; ; ; ; ; ; ;674920;1010387;MAGNA_Colombia_Oeste;"1° 39' 22,926"" N";"76° 59' 02,990"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada interpretada como de enfriamiento, la cual debe ser muy próxima a la de cristalización magmática por ser un cuerpo hipoabisal;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3600;3601;1164;CM010AR;Rocas hipoabisales dacíticas;Andesita porfirítica; ; ;8,44;± 0,52; ; ;Mioceno (N1); ;Ar–Ar;Hornblenda; ; ; ; ; ; ; ;674920;1010387;MAGNA_Colombia_Oeste;"1° 39' 22,926"" N";"76° 59' 02,990"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de menor confiabilidad que la obtenida con biotita;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3601;3602;1169;JR035R;Complejo Ígneo de Betulia; ; ; ;8,58;± 0,07; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ; ; ; ; ; ; ;715093;1030283;MAGNA_Colombia_Oeste;"2° 01' 10,778"" N";"76° 48' 19,083"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3602;3603;1171;JR035R;Complejo Ígneo de Betulia; ; ; ;8,64;± 0,06; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;1,2; ; ; ; ; ;715093;1030283;MAGNA_Colombia_Oeste;"2° 01' 10,778"" N";"76° 48' 19,083"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de meseta interpretada como de enfriamiento, la cual debe ser muy próxima a la de cristalización magmática por ser un cuerpo hipoabisal;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3603;3604;1172;JR035R;Complejo Ígneo de Betulia; ; ; ;8,65;± 0,06; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;0,62; ; ; ; ; ;715093;1030283;MAGNA_Colombia_Oeste;"2° 01' 10,778"" N";"76° 48' 19,083"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de isócrona inversa;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3604;3605;1185;JC034R;Stock de Yacuanas;Dacíta porfirítica; ; ;8,82;± 0,37; ; ;Mioceno (N1); ;Ar–Ar;Hornblenda; ;0,085; ; ; ; ; ;706259;1020316;MAGNA_Colombia_Oeste;"1° 56' 23,185"" N";"76° 53' 41,645"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de isócrona inversa;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3605;3606;1188;JC034R;Stock de Yacuanas;Dacíta porfirítica; ; ;8,87;± 0,42; ; ;Mioceno (N1); ;Ar–Ar;Hornblenda; ; ; ; ; ; ; ;706259;1020316;MAGNA_Colombia_Oeste;"1° 56' 23,185"" N";"76° 53' 41,645"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3606;3607;1190;JC034R;Stock de Yacuanas;Dacíta porfirítica; ; ;8,9;± 0,31; ; ;Mioceno (N1); ;Ar–Ar;Hornblenda; ;0,108; ; ; ; ; ;706259;1020316;MAGNA_Colombia_Oeste;"1° 56' 23,185"" N";"76° 53' 41,645"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de meseta interpretada como de enfriamiento, la cual debe ser muy próxima a la de cristalización magmática por ser un cuerpo hipoabisal;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3607;3608;1230;CM013R;Rocas ígneas hipoabisales dacíticas;Dacita porfirítica; ; ;9,59;± 0,31; ; ;Mioceno (N1); ;Ar–Ar;Roca total; ; ; ; ; ; ; ;680968;997867;MAGNA_Colombia_Oeste;"1° 42' 39,850"" N";"77° 05' 48,038"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3608;3609;1240;CM013R;Rocas ígneas hipoabisales dacíticas;Dacita porfirítica; ; ;9,73;± 0,17; ; ;Mioceno (N1); ;Ar–Ar;Roca total; ;0,55; ; ; ; ; ;680968;997867;MAGNA_Colombia_Oeste;"1° 42' 39,850"" N";"77° 05' 48,038"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de meseta;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3609;3610;1243;CM013R;Rocas ígneas hipoabisales dacíticas;Dacita porfirítica; ; ;9,78;± 0,23; ; ;Mioceno (N1); ;Ar–Ar;Roca total; ;0,36; ; ; ; ; ;680968;997867;MAGNA_Colombia_Oeste;"1° 42' 39,850"" N";"77° 05' 48,038"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de isócrona inversa;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3610;3611;1246;JC031R;Stock de Lerma;Andesita porfirítica; ; ;9,86;± 0,08; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ; ; ; ; ; ; ;709138;1018526;MAGNA_Colombia_Oeste;"1° 57' 56,931"" N";"76° 54' 39,557"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3611;3612;1250;JC031R;Stock de Lerma;Andesita porfirítica; ; ;9,923;± 0,065; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;1,4; ; ; ; ; ;709138;1018526;MAGNA_Colombia_Oeste;"1° 57' 56,931"" N";"76° 54' 39,557"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de meseta;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3612;3613;1251;JC031R;Stock de Lerma;Andesita porfirítica; ; ;9,94;± 0,071; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;0,83; ; ; ; ; ;709138;1018526;MAGNA_Colombia_Oeste;"1° 57' 56,931"" N";"76° 54' 39,557"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de isócrona inversa;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3613;3614;1252;JR033R;Complejo Ígneo de Betulia;Dacita porfirítica; ; ;9,99;± 0,07; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ; ; ; ; ; ; ;718474;1030643;MAGNA_Colombia_Oeste;"2° 03' 00,846"" N";"76° 48' 07,440"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3614;3615;1253;JR033R;Complejo Ígneo de Betulia;Dacita porfirítica; ; ;10;± 0,067; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;0,95; ; ; ; ; ;718474;1030643;MAGNA_Colombia_Oeste;"2° 03' 00,846"" N";"76° 48' 07,440"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de isócrona inversa;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3615;3616;1256;JR033R;Complejo Ígneo de Betulia;Dacita porfirítica; ; ;10,016;± 0,068; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;1,06; ; ; ; ; ;718474;1030643;MAGNA_Colombia_Oeste;"2° 03' 00,846"" N";"76° 48' 07,440"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de meseta interpretada como de enfriamiento, la cual debe ser muy próxima a la de cristalización magmática por ser un cuerpo hipoabisal;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3616;3617;1298;61.02; ;Andesita; ; ;10,9;± 0,2; ; ;Mioceno (N1); ;K–Ar;Roca total; ; ; ; ; ; ; ;796409;1082479;MAGNA_Colombia_Oeste;"2° 45' 17,391"" N";"76° 20' 08,721"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3617;3618;1299;62.01; ;Andesita; ; ;10,9;± 0,3; ; ;Mioceno (N1); ;K–Ar;Anfíbol; ; ; ; ; ; ; ;794312;1082542;MAGNA_Colombia_Oeste;"2° 44' 09,111"" N";"76° 20' 06,716"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3618;3619;1310;JM020R;Complejo Ígneo de Ciruelal;Andesita hornbléndica porfirítica; ; ;11,07;± 0,07; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ; ; ; ; ; ; ;715814;1033257;MAGNA_Colombia_Oeste;"2° 01' 34,226"" N";"76° 46' 42,865"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3619;3620;1315;JM020R;Complejo Ígneo de Ciruelal;Andesita hornbléndica porfirítica; ; ;11,102;± 0,069; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;1,4; ; ; ; ; ;715814;1033257;MAGNA_Colombia_Oeste;"2° 01' 34,226"" N";"76° 46' 42,865"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad isócrona inversa;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3620;3621;1316;JM020R;Complejo Ígneo de Ciruelal;Andesita hornbléndica; ; ;11,112;± 0,070; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;0,95; ; ; ; ; ;715814;1033257;MAGNA_Colombia_Oeste;"2° 01' 34,226"" N";"76° 46' 42,865"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de meseta interpretada como de cristalización magmática;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3621;3622;1329;57.02; ;Andesita; ; ;11,5;± 0,3; ; ;Mioceno (N1); ;K–Ar;Roca total; ; ; ; ; ; ; ;656557;997381;MAGNA_Colombia_Oeste;"1° 29' 25,077"" N";"77° 06' 03,755"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3622;3623;1361;48.02; ;Dacita; ; ;12,01;± 0,3; ; ;Mioceno (N1); ;K–Ar;Anfíbol; ; ; ; ; ; ; ;662806;995481;MAGNA_Colombia_Oeste;"1° 32' 48,543"" N";"77° 07' 05,229"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3623;3624;1369;JC031R;Stock de Lerma;Andesita porfirítica; ; ;12,16;± 4,01; ; ;Mioceno (N1); ;Ar–Ar;Hornblenda; ; ; ; ; ; ; ;709138;1018526;MAGNA_Colombia_Oeste;"1° 57' 56,931"" N";"76° 54' 39,557"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Hornblenda muy baja en K, edad integrada es de menor confiabilidad que la obtenida en biotita;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3624;3625;1399;47.01; ;Dacita; ; ;13;± 0,8; ; ;Mioceno (N1); ;K–Ar;Biotita; ; ; ; ; ; ; ;674606;994381;MAGNA_Colombia_Oeste;"1° 39' 12,705"" N";"77° 07' 40,823"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3625;3626;1401;JC031R;Stock de Lerma;Andesita porfirítica; ; ;13,1;± 3,3; ; ;Mioceno (N1); ;Ar–Ar;Hornblenda; ;0,38; ; ; ; ; ;709138;1018526;MAGNA_Colombia_Oeste;"1° 57' 56,931"" N";"76° 54' 39,557"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Hornblenda muy baja en K, edad de meseta es de menor confiabilidad que la obtenida en biotita;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3626;3627;1403;56.01; ;Dacita; ; ;13,2;± 3,5; ; ;Mioceno (N1); ;K–Ar;Anfíbol; ; ; ; ; ; ; ;666406;970981;MAGNA_Colombia_Oeste;"1° 34' 45,691"" N";"77° 20' 17,846"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3627;3628;1404;43.02; ;Dacita; ; ;13,2;± 0,3; ; ;Mioceno (N1); ;K–Ar;Roca total; ; ; ; ; ; ;Las coordenadas reportadas por el autor no coinciden con la Figura 3.1. Se obtuvo las coordenadas del punto a partir de la georreferenciación de esta figura;746939;1041988;MAGNA_Colombia_Oeste;"2° 18' 27,478"" N";"76° 42' 00,076"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3628;3629;1445;JC031R;Stock de Lerma;Andesita porfirítica; ; ;14;± 16; ; ;Mioceno (N1); ;Ar–Ar;Hornblenda; ;0,027; ; ; ; ; ;709138;1018526;MAGNA_Colombia_Oeste;"1° 57' 56,931"" N";"76° 54' 39,557"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Hornblenda muy baja en K, la edad de isócrona inversa es de menor confiabilidad que la obtenida en biotita;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3629;3630;1455;42.04;Stock El Cobre–Bolívar;Dacita; ; ;14,3;± 0,3; ; ;Mioceno (N1); ;K–Ar;Roca total; ; ; ; ; ; ;Las coordenadas reportadas por el autor no coinciden con la Figura 3.1. Se obtuvo las coordenadas del punto a partir de la georreferenciación de esta figura;697159;1012817;MAGNA_Colombia_Oeste;"1° 51' 26,941"" N";"76° 57' 44,306"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3630;3631;1467;46.01; ;Dacita; ; ;14,7;± 0,3; ; ;Mioceno (N1); ;K–Ar;Biotita; ; ; ; ; ; ; ;674606;994381;MAGNA_Colombia_Oeste;"1° 39' 12,705"" N";"77° 07' 40,823"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3631;3632;1474;45.02; ;Andesita; ; ;15,3;± 0,3; ; ;Mioceno (N1); ;K–Ar;Biotita; ; ; ; ; ; ; ;673806;993881;MAGNA_Colombia_Oeste;"1° 38' 46,671"" N";"77° 07' 57,001"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3632;3633;1476;47.01; ;Dacita; ; ;15,5;± 0,4; ; ;Mioceno (N1); ;K–Ar;Anfíbol; ; ; ; ; ; ; ;674606;994381;MAGNA_Colombia_Oeste;"1° 39' 12,705"" N";"77° 07' 40,823"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3633;3634;1492;53.01; ;Andesita; ; ;15,9;± 0,4; ; ;Mioceno (N1); ;K–Ar;Roca total; ; ; ; ; ; ; ;667806;987781;MAGNA_Colombia_Oeste;"1° 35' 31,305"" N";"77° 11' 14,346"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3634;3635;1495;45.02; ;Andesita; ; ;16;± 0,4; ; ;Mioceno (N1); ;K–Ar;Anfíbol; ; ; ; ; ; ; ;673806;993881;MAGNA_Colombia_Oeste;"1° 38' 46,671"" N";"77° 07' 57,001"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3635;3636;1499;30.02;Stock de Lerma;Granodiorita; ; ;16,1;± 0,4; ; ;Mioceno (N1); ;K–Ar;Roca total; ; ; ; ; ; ; ;710781;1014480;MAGNA_Colombia_Oeste;"1° 58' 50,452"" N";"76° 56' 50,474"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3636;3637;1516;CM014R;Stock de La Medina;Dacita porfirítica; ; ;16,56;± 0,14; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ; ; ; ; ; ; ;700614;1008725;MAGNA_Colombia_Oeste;"1° 53' 19,448"" N";"76° 59' 56,727"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3637;3638;1522;CM014R;Stock de La Medina;Dacita porfirítica; ; ;16,68;± 0,11; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;1,3; ; ; ; ; ;700614;1008725;MAGNA_Colombia_Oeste;"1° 53' 19,448"" N";"76° 59' 56,727"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de meseta interpretada como de enfriamiento, la cual debe ser muy próxima a la de cristalización magmática por ser un cuerpo hipoabisal;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3638;3639;1529;CM014R;Stock de La Medina;Dacita porfirítica; ; ;16,86;± 0,3; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ;1,3; ; ; ; ; ;700614;1008725;MAGNA_Colombia_Oeste;"1° 53' 19,448"" N";"76° 59' 56,727"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad de isócrona inversa;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3639;3640;1545;46.01; ;Dacita; ; ;17,2;± 0,4; ; ;Mioceno (N1); ;K–Ar;Anfíbol; ; ; ; ; ; ; ;674606;994381;MAGNA_Colombia_Oeste;"1° 39' 12,705"" N";"77° 07' 40,823"" W";Risnes, K. 1995. Géodynamique du sud–ouest des Andes colombiennes (dépression du Cauca–Patía) durant le Néogène. Approche paléomagnétique. Tesis de doctorado, Universidad de Ginebra, 169 p. Ginebra, Suiza.;Risnes (1995);249; ; 
3640;3641;1546;JC008R;Rocas hipoabisales andesíticas;Andesita porfirítica; ; ;17,21;± 0,99; ; ;Mioceno (N1); ;Ar–Ar;Biotita; ; ; ; ; ; ; ;668206;974611;MAGNA_Colombia_Oeste;"1° 35' 44,290"" N";"77° 18' 20,400"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
3641;3642;1557;JR023R;Stock de Arrayanes La Playa;Andesita porfirítica; ; ;17,61;± 0,77; ; ;Mioceno (N1); ;Ar–Ar;Hornblenda; ; ; ; ; ; ; ;710491;1012372;MAGNA_Colombia_Oeste;"1° 58' 41,000"" N";"76° 57' 58,680"" W";González, H. 2010. Geoquímica, geocronología de las unidades litológicas asociadas al Sistema de Fallas Cauca–Romeral, sector centro–sur, Tomo I. INGEOMINAS, informe interno, 412 p. Medellín.;González (2010);122;Edad integrada de moderada confianza debido al bajo contenido de K;http://aplicaciones1.ingeominas.gov.co/Bodega/i_vector/220/06/0000/24335/documento/pdf/2105243351101000.pdf
